Date,Amount spent,Impressions,Link clicks,CTR (link click-through rate),CPM,CPC (link),On-Facebook leads,Cost per on-Facebook lead,Website conversions,Website conversion rate
"Jun 9, 2025",1127.62,62807,319,0.005079051698059133,17.953731271991973,3.5348589341692787,22,51.25545454545454,114,0.3573667711598746
"Jun 8, 2025",2394.44,148543,760,0.005116363611883428,16.119507482681783,3.150578947368421,54,44.34148148148148,243,0.31973684210526315
"Jun 7, 2025",2279.09,143040,768,0.005369127516778523,15.933235458612979,2.967565104166667,51,44.688039215686274,258,0.3359375
"Jun 6, 2025",2158.7,132328,699,0.005282328758841666,16.313251919472826,3.0882689556509297,48,44.97291666666666,254,0.36337625178826893
"Jun 5, 2025",2200.79,133945,712,0.0053156146179402,16.430549852551422,3.090997191011236,59,37.30152542372881,286,0.40168539325842695
"Jun 4, 2025",2211.53,140563,669,0.004759431713893415,15.733372224554117,3.3057249626307925,62,35.66983870967742,247,0.3692077727952167
"Jun 3, 2025",2216.76,142386,722,0.005070723245262877,15.568665458682737,3.0703047091412747,59,37.57220338983051,261,0.36149584487534625
"Jun 2, 2025",2357.69,144546,659,0.004559102292695751,16.3110013421333,3.5776783004552355,49,48.116122448979596,247,0.37481031866464337
"Jun 1, 2025",2349.38,163897,762,0.004649261426383644,14.334490564195807,3.083175853018373,56,41.95321428571429,242,0.31758530183727035
"May 31, 2025",2221.87,139011,658,0.0047334383609930145,15.983411384710562,3.3767021276595743,47,47.27382978723404,205,0.31155015197568386
"May 30, 2025",2131.14,130908,558,0.004262535521129342,16.27967733064442,3.8192473118279566,54,39.465555555555554,192,0.34408602150537637
"May 29, 2025",2182.77,103789,544,0.005241403231556331,21.030841418647448,4.012444852941177,51,42.79941176470588,208,0.38235294117647056
"May 28, 2025",2249.2,118868,570,0.004795235050644412,18.921829255981425,3.9459649122807012,46,48.89565217391304,228,0.4
"May 27, 2025",2275.52,137773,584,0.004238856670029686,16.516443715386906,3.8964383561643836,47,48.41531914893617,219,0.375
"May 26, 2025",2322.13,147180,643,0.0043688001087104225,15.777483353716537,3.6113996889580093,46,50.48108695652174,210,0.3265940902021773
"May 25, 2025",2416.58,147565,687,0.004655575509097685,16.37637651204554,3.517583697234352,53,45.595849056603775,259,0.37700145560407566
"May 24, 2025",2260.7,140044,597,0.004262945931278741,16.14278369655251,3.786767169179229,32,70.646875,186,0.31155778894472363
"May 23, 2025",2232.47,143010,561,0.003922802601216698,15.61058667226068,3.979447415329768,46,48.531956521739126,194,0.34581105169340465
"May 22, 2025",2153.38,134466,526,0.0039117695179450565,16.014308449719632,4.093878326996198,38,56.66789473684211,217,0.41254752851711024
"May 21, 2025",2142.11,131072,582,0.0044403076171875,16.343002319335938,3.680601374570447,67,31.971791044776122,221,0.3797250859106529
"May 20, 2025",2216.08,133963,565,0.004217582466800534,16.542478146951023,3.9222654867256637,66,33.5769696969697,204,0.36106194690265486
"May 19, 2025",2397.27,144767,635,0.004386358769609096,16.55950596475716,3.775228346456693,73,32.83931506849315,229,0.3606299212598425
"May 18, 2025",2548.19,146109,651,0.0044555776851528655,17.440335639830536,3.9142703533026113,73,34.90671232876712,200,0.30721966205837176
"May 17, 2025",2620.08,145908,625,0.004283521122899361,17.95706883789785,4.192128,72,36.39,181,0.2896
"May 16, 2025",2474.88,127076,574,0.004516981963549372,19.4755894110611,4.311637630662021,54,45.83111111111111,194,0.33797909407665505
"May 15, 2025",2581,122870,642,0.005225034589403435,21.005941238707578,4.020249221183801,75,34.413333333333334,194,0.30218068535825543
"May 14, 2025",2573.28,128601,623,0.004844441334048724,20.009797746518302,4.130465489566613,83,31.003373493975907,219,0.35152487961476725
"May 13, 2025",2736.61,136519,579,0.0042411678960437744,20.04563467356192,4.726442141623489,59,46.38322033898305,215,0.37132987910189985
"May 12, 2025",1154.28,88069,327,0.0037129977631175557,13.106541461808355,3.529908256880734,1,1154.28,209,0.6391437308868502
"May 11, 2025",1086.64,93036,362,0.0038909669375295584,11.67977987015779,3.0017679558011054,1,1086.64,236,0.6519337016574586
"May 10, 2025",984.54,80437,327,0.004065293335156706,12.239889603043375,3.0108256880733943,5,196.908,189,0.5779816513761468
"May 9, 2025",998.95,81506,344,0.004220548180502049,12.256152921257332,2.9039244186046513,4,249.7375,232,0.6744186046511628
"May 8, 2025",986.58,76221,253,0.0033192952073575525,12.943676939426142,3.899525691699605,1,986.58,164,0.6482213438735178
"May 7, 2025",1000.92,77523,341,0.004398694580963069,12.911265043922448,2.93524926686217,2,500.46,235,0.6891495601173021
"May 6, 2025",1026.33,79420,300,0.003777386048854193,12.92281541173508,3.4210999999999996,7,146.6185714285714,204,0.68
"May 5, 2025",1066.12,86727,353,0.004070243407474028,12.292826916646488,3.020169971671388,0,null,254,0.7195467422096318
"May 4, 2025",1066.22,93045,369,0.0039658229888763505,11.459186415175452,2.8894850948509485,1,1066.22,246,0.6666666666666666
"May 3, 2025",995.62,86041,340,0.003951604467637522,11.571460117850792,2.928294117647059,1,995.62,207,0.6088235294117647
"May 2, 2025",965.69,74688,281,0.003762317909168809,12.929654027420739,3.4366192170818506,2,482.845,174,0.6192170818505338
"May 1, 2025",1009.03,77559,315,0.004061424206088268,13.009837671965858,3.203269841269841,5,201.80599999999998,214,0.6793650793650794
"Apr 30, 2025",983.35,75772,312,0.004117616005912475,12.977749036583434,3.1517628205128205,8,122.91875,209,0.6698717948717948
"Apr 29, 2025",1027.44,72868,308,0.0042268211011692374,14.10001646813416,3.335844155844156,3,342.48,199,0.6461038961038961
"Apr 28, 2025",1116.39,72938,282,0.0038662974032740135,15.306013326386797,3.958829787234043,3,372.13000000000005,190,0.6737588652482269
"Apr 27, 2025",1017.03,72317,318,0.0043973063041885035,14.063498209273062,3.1982075471698113,4,254.2575,215,0.6761006289308176
"Apr 26, 2025",1087.12,70861,275,0.0038808371318496777,15.341584228277895,3.953163636363636,2,543.56,177,0.6436363636363637
"Apr 25, 2025",954.67,70653,288,0.004076260031421171,13.512094320127948,3.3148263888888887,2,477.335,181,0.6284722222222222
"Apr 24, 2025",948.52,68373,256,0.0037441680195398766,13.872727538648295,3.70515625,0,null,174,0.6796875
"Apr 23, 2025",988.13,67324,287,0.004262967143960549,14.677232487671558,3.4429616724738676,4,247.0325,168,0.5853658536585366
"Apr 22, 2025",1021.75,65854,291,0.004418865976250494,15.515382512831415,3.511168384879725,6,170.29166666666666,193,0.6632302405498282
"Apr 21, 2025",1041.09,66755,295,0.004419144633360797,15.595685716425734,3.5291186440677964,7,148.72714285714284,196,0.6644067796610169
"Apr 20, 2025",1096.74,68080,293,0.0043037602820211514,16.109576968272624,3.743139931740614,6,182.79,200,0.6825938566552902
"Apr 19, 2025",1637.01,84269,353,0.004188966286534788,19.426004817904566,4.63742209631728,9,181.89,221,0.6260623229461756
"Apr 18, 2025",1629.46,80074,352,0.0043959337612708245,20.34942678022829,4.629147727272727,9,181.0511111111111,202,0.5738636363636364
"Apr 17, 2025",1645.09,70602,315,0.00446162998215348,23.300897991558312,5.222507936507936,15,109.67266666666666,155,0.49206349206349204
"Apr 16, 2025",22.8,1081,2,0.0018501387604070306,21.091581868640148,11.4,2,11.4,1,0.5
"Apr 15, 2025",21.83,1040,3,0.0028846153846153848,20.990384615384613,7.276666666666666,1,21.83,0,0
"Apr 14, 2025",30.47,1340,4,0.0029850746268656717,22.738805970149254,7.6175,1,30.47,0,0
"Apr 13, 2025",25.5,1171,1,0.0008539709649871904,21.776259607173355,25.5,0,null,0,0
"Apr 11, 2025",788.71,35119,178,0.005068481448788405,22.458213502662378,4.4309550561797755,16,49.294375,32,0.1797752808988764
"Apr 10, 2025",2138.48,104634,489,0.0046734331096966565,20.437716229906147,4.373169734151329,63,33.94412698412698,63,0.12883435582822086
"Apr 9, 2025",2136.93,108319,471,0.004348267616946242,19.72811787405718,4.537006369426751,61,35.031639344262295,73,0.15498938428874734
"Apr 8, 2025",2167.63,107616,489,0.004543933987511151,20.142265090692835,4.432781186094069,69,31.414927536231886,63,0.12883435582822086
"Apr 7, 2025",2337.02,101062,505,0.004996932576042429,23.124616572005305,4.627762376237624,53,44.09471698113207,62,0.12277227722772277
"Apr 6, 2025",2409.9,104043,540,0.0051901617600415215,23.1625385657853,4.462777777777778,63,38.25238095238095,65,0.12037037037037036
"Apr 5, 2025",2211.31,97272,498,0.005119664446089317,22.733263426268607,4.440381526104417,65,34.020153846153846,78,0.1566265060240964
"Apr 4, 2025",2151.19,93018,447,0.004805521511965426,23.126599152852137,4.8125055928411635,63,34.145873015873015,65,0.14541387024608501
"Apr 3, 2025",2147.87,98466,436,0.0044279243596774525,21.813316271606443,4.926307339449541,53,40.525849056603775,43,0.09862385321100918
"Apr 2, 2025",2207.62,100224,464,0.004629629629629629,22.0268598339719,4.757801724137931,68,32.464999999999996,53,0.11422413793103449
"Apr 1, 2025",2224.33,105472,464,0.004399271844660194,21.089293841019416,4.7938146551724135,60,37.07216666666667,62,0.1336206896551724
"Mar 31, 2025",2281.86,97732,439,0.004491875741824581,23.348135718086198,5.197858769931663,54,42.25666666666667,40,0.09111617312072894
"Mar 30, 2025",2346,90105,419,0.004650130403418234,26.03629099384052,5.599045346062052,62,37.83870967741935,47,0.11217183770883055
"Mar 29, 2025",2223.79,87656,430,0.004905539837546774,25.369512640321254,5.171604651162791,66,33.69378787878788,48,0.11162790697674418
"Mar 28, 2025",2157,88147,432,0.004900904171440889,24.470486800458325,4.993055555555555,51,42.294117647058826,56,0.12962962962962962
"Mar 27, 2025",2136.36,91162,398,0.004365854193633312,23.43476448520217,5.367738693467337,40,53.409000000000006,56,0.1407035175879397
