,ga4_page_path,ga4_sessions,path_split,domain,domainsub1,domainsub2,domainsub3,domainsub4
11944,https://impact.com/press-releases/impact-radius-expands-international-reach-with-new-release-of-partner-manager/,80.0,"['https:', '', 'impact.com', 'press-releases', 'impact-radius-expands-international-reach-with-new-release-of-partner-manager', '']",impact.com,press-releases,impact-radius-expands-international-reach-with-new-release-of-partner-manager,,
11945,https://impact.com/press-releases/lotuss-embraces-marketing-innovation-powered-by-impact-com/,80.0,"['https:', '', 'impact.com', 'press-releases', 'lotuss-embraces-marketing-innovation-powered-by-impact-com', '']",impact.com,press-releases,lotuss-embraces-marketing-innovation-powered-by-impact-com,,
11999,https://impact.com/affiliate/merging-affiliate-and-influencer-marketing/,80.0,"['https:', '', 'impact.com', 'affiliate', 'merging-affiliate-and-influencer-marketing', '']",impact.com,affiliate,merging-affiliate-and-influencer-marketing,,
12000,https://impact.com/affiliate/how-to-build-a-successful-affiliate-marketing-website/?fbclid=IwZXh0bgNhZW0CMTEAAR2g2KlWv7C5NHl9Ogx-CWM2JVbzwlYhz8CaTftnCfHdTOYSAJc3vBDkdyo_aem_AcH2Y39C1_clMFWsiXKJkI_MkGIV-guyyZnjqVT5K2doFaEgrYyuxGsRZY3zVsYPjQzRgv2ARoENqNFkY_c-ImwJ,80.0,"['https:', '', 'impact.com', 'affiliate', 'how-to-build-a-successful-affiliate-marketing-website', '?fbclid=IwZXh0bgNhZW0CMTEAAR2g2KlWv7C5NHl9Ogx-CWM2JVbzwlYhz8CaTftnCfHdTOYSAJc3vBDkdyo_aem_AcH2Y39C1_clMFWsiXKJkI_MkGIV-guyyZnjqVT5K2doFaEgrYyuxGsRZY3zVsYPjQzRgv2ARoENqNFkY_c-ImwJ']",impact.com,affiliate,how-to-build-a-successful-affiliate-marketing-website,?fbclid=IwZXh0bgNhZW0CMTEAAR2g2KlWv7C5NHl9Ogx-CWM2JVbzwlYhz8CaTftnCfHdTOYSAJc3vBDkdyo_aem_AcH2Y39C1_clMFWsiXKJkI_MkGIV-guyyZnjqVT5K2doFaEgrYyuxGsRZY3zVsYPjQzRgv2ARoENqNFkY_c-ImwJ,
12007,https://impact.com/affiliate/a-winning-affiliate-marketing-landing-page-3-proven-strategies-plus-inspiring-examples/,80.0,"['https:', '', 'impact.com', 'affiliate', 'a-winning-affiliate-marketing-landing-page-3-proven-strategies-plus-inspiring-examples', '']",impact.com,affiliate,a-winning-affiliate-marketing-landing-page-3-proven-strategies-plus-inspiring-examples,,
12062,https://impact.com/ad-networks-ssps/,80.0,"['https:', '', 'impact.com', 'ad-networks-ssps', '']",impact.com,ad-networks-ssps,,,
12063,https://impact.com/accessibility-policy/,80.0,"['https:', '', 'impact.com', 'accessibility-policy', '']",impact.com,accessibility-policy,,,
12081,https://impact.com/commerce-content/6-mistakes-publishers-make-with-utm-tracking/,80.0,"['https:', '', 'impact.com', 'commerce-content', '6-mistakes-publishers-make-with-utm-tracking', '']",impact.com,commerce-content,6-mistakes-publishers-make-with-utm-tracking,,
12088,https://impact.com/case-studies/sephora-case-study-pars-csb-imp-ev-nam-1122/,80.0,"['https:', '', 'impact.com', 'case-studies', 'sephora-case-study-pars-csb-imp-ev-nam-1122', '']",impact.com,case-studies,sephora-case-study-pars-csb-imp-ev-nam-1122,,
12089,https://impact.com/case-studies/ringcentral-case-study-0324/?utm_source={{my.utm_source}}&utm_medium={{my.utm_medium}}&utm_campaign={{my.utm_campaign}}&utm_content=consideration-nurture,80.0,"['https:', '', 'impact.com', 'case-studies', 'ringcentral-case-study-0324', '?utm_source={{my.utm_source}}&utm_medium={{my.utm_medium}}&utm_campaign={{my.utm_campaign}}&utm_content=consideration-nurture']",impact.com,case-studies,ringcentral-case-study-0324,?utm_source={{my.utm_source}}&utm_medium={{my.utm_medium}}&utm_campaign={{my.utm_campaign}}&utm_content=consideration-nurture,
12094,https://impact.com/case-studies/ringcentral-case-study-0324/,80.0,"['https:', '', 'impact.com', 'case-studies', 'ringcentral-case-study-0324', '']",impact.com,case-studies,ringcentral-case-study-0324,,
12103,https://impact.com/commerce-content/how-branded-content-publishers-can-use-e-newsletters-to-boost-engagement/,80.0,"['https:', '', 'impact.com', 'commerce-content', 'how-branded-content-publishers-can-use-e-newsletters-to-boost-engagement', '']",impact.com,commerce-content,how-branded-content-publishers-can-use-e-newsletters-to-boost-engagement,,
12119,https://impact.com/creator/?utm_source=google&utm_medium=cpc&utm_campaign=13519955519-156925451451&utm_content=665595339584&utm_term=impact%20creator-p&gad_source=1&gclid=CjwKCAjww_iwBhApEiwAuG6ccC3rcuDXAk8eqLLiXTSkQmpdxJX-zl7wT-ktwnY3CVT_6lDPsQXP3BoC9G8QAvD_BwE,80.0,"['https:', '', 'impact.com', 'creator', '?utm_source=google&utm_medium=cpc&utm_campaign=13519955519-156925451451&utm_content=665595339584&utm_term=impact%20creator-p&gad_source=1&gclid=CjwKCAjww_iwBhApEiwAuG6ccC3rcuDXAk8eqLLiXTSkQmpdxJX-zl7wT-ktwnY3CVT_6lDPsQXP3BoC9G8QAvD_BwE']",impact.com,creator,?utm_source=google&utm_medium=cpc&utm_campaign=13519955519-156925451451&utm_content=665595339584&utm_term=impact%20creator-p&gad_source=1&gclid=CjwKCAjww_iwBhApEiwAuG6ccC3rcuDXAk8eqLLiXTSkQmpdxJX-zl7wT-ktwnY3CVT_6lDPsQXP3BoC9G8QAvD_BwE,,
